#Types Before Cut: 11091
#Types After Cut: 9706
#Search Hits: 0
246	25	65.480	варвара
247	25	65.480	вика
248	25	57.632	всякие
249	25	65.480	господи
250	25	16.238	лучше
251	25	48.299	опять
252	25	33.959	татьяна
253	24	50.017	класс
254	24	42.411	кому
255	24	0.003	либо
256	24	4.751	нее
257	24	2.498	некоторые
258	24	14.812	понятно
259	24	31.905	принципе
260	24	4.751	своей
261	24	0.153	сегодня
262	24	4.370	такого
263	24	13.021	чуть
264	24	12.198	шесть
265	23	3.642	времени
266	23	37.111	далее
267	23	37.111	дома
268	23	60.241	наверно
269	23	43.532	называется
270	23	16.390	равно
271	23	0.000	таких
272	23	3.315	те
273	22	3.617	большой
274	22	13.897	дальше
275	22	57.622	дети
276	22	25.934	какую
277	22	50.024	матвей
278	22	6.133	ней
279	22	25.934	часов
280	22	57.622	чтоб
281	22	50.024	школе
282	21	15.539	виктор
283	21	22.310	долго
284	21	47.496	жили
285	21	27.917	жить
286	21	11.607	кого
287	21	55.003	миша
288	21	55.003	помнишь
289	21	55.003	прям
290	21	55.003	тобой
291	21	30.174	хоть
292	21	30.174	язык
293	20	52.384	галя
294	20	30.510	дочка
295	20	23.914	друг
296	20	33.274	другому
297	20	52.384	думала
298	20	14.019	каких
299	20	23.914	места
300	20	5.264	нельзя
301	20	7.455	никто
302	20	2.896	свой
303	20	52.384	тридцать
304	19	8.309	вечером
305	19	0.940	второй
306	19	15.934	говоря
307	19	34.127	допустим
308	19	34.127	зачем
309	19	37.814	лариса
310	19	4.835	место
311	19	28.347	младший
312	19	25.986	н
313	19	49.765	немножко
314	19	8.309	никогда
315	19	0.001	ним
316	19	20.263	павел
317	19	42.453	приехали
318	19	2.864	слишком
319	19	25.986	слово
320	19	0.518	стоит
321	19	0.940	тот
322	19	42.453	учиться
323	19	18.694	хотел
324	19	37.814	час
325	19	49.765	чём
326	18	4.883	весь
327	18	47.145	говоришь
328	18	0.041	денег
329	18	31.808	дом
330	18	14.315	е
331	18	2.214	итоге
332	18	13.160	каким
333	18	26.206	понимаю
334	18	0.727	пор
335	18	14.315	разных
336	18	21.902	русский
337	18	12.094	сильно
338	18	14.315	сначала
339	18	23.929	тему
340	18	47.145	фильм
341	17	4.450	всем
342	17	29.505	давайте
343	17	0.416	дня
344	17	8.876	довольно
345	17	15.224	заниматься
346	17	44.526	зовут
347	17	44.526	кадром
348	17	21.899	кем
349	17	26.593	моей
