 	фармацевт		фармаце'втъ (спеціали'стъ по апте'чному дѣ'лу)	 
 	фармацевтика		фармаце'втика, фарма'ція	 
 	фармация		фарма'ція, фармаце'втика	 
 	Фармуфий		Фарму'ѳій	 
 	Фарнезе		Фарне'зе	 
 	фарс		фа'рсъ (малоправдоподо'бная шу'тка)	 
 	фарсёр		фарсёръ (заба'вникъ, шутни'къ, весельча'къ, грима'сникъ)	 
 	фартук		фа'ртукъ	 
 	фарфор		фарфо'ръ	 
 	фарш		фаршъ (ме'лко нару'бленное мя'со для начи'нки)	 
 	фасад		фаса'дъ, на фаса'дѣ	 
 	фасетка		фасе'тка, фаце'тка	 
 	фасоль		фасо'ль	 
 	фасон		фасо'нъ	 
 	фасция		фа'сція (соедини'тельная тка'нь, покрыва'ющая мы'шцы и другі'е о'рганы)	 
 	фат		фа'тъ, о фа'тѣ	 
 	фата		фата', въ фатѣ'	 
 	фатализм		фатали'змъ (вѣ'ра въ неизбѣ'жныя, неустрани'мыя, роковы'я предопредѣле'нія судьбы')	 
 	фаталист		фатали'стъ	 
 	Фатеж		Фа'тежъ	 
 	фатом		фа'томъ (мѣ'ра въ 6 футъ, употребля'емая при измѣре'ніи глубины')	 
 	фатум		фа'тумъ (судьба', рокъ)	 
 	фауна		фа'уна	 
 	фацет		фаце'тъ, фасе'тъ (ско'шенная грань зерка'льнаго стекла'; пло'скость гра'ни драгоцѣ'нныхъ камне'й)	 
 	фашины		фаши'ны (свя'зки хво'роста, употребля'емыя для замоще'нія доро'ги по боло'тистымъ мѣста'мъ)	 
 	фаэтон		фаэто'нъ (лёгкая коля'ска)	 
 	Фаэтон		Фаэто'нъ	 
 	фаянс		фая'нсъ	 
фе 	Феана		Ѳеа'на	^
 	Феб		Фе'бъ	 
 	Феваль		Фева'ль	 
 	Февда		Ѳе'вда	 
 	февраль		февра'ль, въ февралѣ', февра'льскій, второ'го февраля'	 
 	Феврония		Февро'нія, Ховро'нья	 
 	федерация		федера'ція	 
 	Федон		Федо'нъ	 
 	Фёдор		Ѳёдоръ и Ѳеодо'ръ, Ѳёдоровичъ	 
 	Федора		Ѳедо'ра и Ѳеодо'ра	 
 	Фёдоров		Ѳёдоровъ, о Ѳёдорѣ Ѳёдоровичѣ Ѳёдоровѣ	 
 	Федосей		Ѳедосе'й	 
 	Федосий		Ѳедо'сій, Ѳеодо'сій	 
 	Федосья		Ѳедо'сья, Ѳеодо'сія, къ Ѳедо'сьѣ	 
 	Федот		Ѳедо'тъ и Ѳеодо'тъ	 
 	Федотов		Ѳедо'товъ	 
 	Федотова		Ѳедо'това	 
 	Федр		Фе'дръ	 
 	Федра		Фе'дра	 
 	Федул		Ѳеду'лъ и Ѳеоду'лъ	 
 	Федченко		Фе'дченко	 
 	Федя		Ѳе'дя	 
 	феерический		феери'ческій	 
 	феерия		фее'рія (драмати'ческое представле'ніе, въ кото'ромъ гла'вную роль игра'ютъ постано'вка, декора'ціи и чуде'сныя превраще'нія)	 
 	Фейдо		Фейдо'	 
 	Фейербах		Фейерба'хъ	 
 	фейерверк		фейерве'ркъ (горю'чія снаряже'нія, зажига'емыя для иллюмина'цій)	 
 	фекалии		фека'ліи	 
 	Фёкла		Ѳёкла	 
 	Феклист		Ѳекли'стъ, Ѳеокти'стъ	 
 	Феликс		Фе'ликсъ	 
 	Фелинский		Фели'нскій	 
 	Фелицата		Фелица'та	 
 	Фелицита		Фелици'та	 
 	Фелицитата		Фелицита'та	 
 	феллах		фелла'хъ, фелла'хи (въ Еги'птѣ и Ара'віи смѣ'шанное населе'ніе земледѣ'льцевъ, въ противополо'жность бедуи'намъ)	 
 	Феллин		Фелли'нъ	 
 	Феллье		Феллье'	 
 	фелонь		фело'нь (доро'жный дождево'й плащъ безъ рукаво'въ)	 
 	фелука		фелу'ка, фелю'га	 
 	фельдмаршал		фельдма'ршалъ (вы'сшій вое'нный чинъ въ ру'сской а'рміи)	 
 	фельдфебель		фельдфе'бель (вы'сшій у'нтеръ-офице'рскій чинъ въ ро'тѣ)	 
 	фельдшер		фе'льдшеръ и фе'ршелъ	 
 	фельдъегерь		фельдъе'герь (вое'нный курье'ръ, занима'ющійся разво'зкой э'кстренныхъ и секре'тныхъ бума'гъ)	 
 	фельетон		фельето'нъ	 
 	фелюга		фелю'га, фелу'ка (испа'нское назва'ніе лёгкаго быстрохо'днаго па'руснаго и гребно'го су'дна)	 
 	Фемида		Ѳеми'да	 
 	феминизм		фемини'змъ	 
 	феминисты		фемини'сты (убѣждённые защи'тники расшире'нія правъ же'нщины, гражда'нскихъ и полити'ческихъ, до уравне'нія ихъ во всёмъ съ мужчи'нами)	 
 	Фемистокл		Ѳемисто'клъ	 
 	фен		фенъ (для воло'съ)	 
 	фён		фёнъ (вѣ'теръ)	 
 	фенакит		фенаки'тъ	 
 	фенёк		фенёкъ	 
 	Фенелон		Фенело'нъ	 
 	Феникс		Фе'никсъ	 
 	фенология		феноло'гія	 
 	феномен		фено'менъ (явле'ніе), феноме'нъ (человѣ'къ)	 
 	феноменальное		феномена'льное	 
 	фенхель		фе'нхель, съ фе'нхелемъ	 
 	феня		фе'ня (воровско'й жарго'нъ), бо'тать по фе'нѣ, на фе'нѣ	 
 	Феня		Фе'ня, къ Фе'нѣ, Фе'нечка	 
 	Феоген		Ѳеоге'нъ	 
 	Феогний		Ѳео'гній	 
 	Феогност		Ѳеогно'стъ	 
 	феод		фео'дъ	 
 	феодал		феода'лъ	 
 	феодализм		феодали'змъ	 
 	феодальный		феода'льный	 
 	Феодор		Ѳеодо'ръ, Ѳёдоръ	 
 	Феодора		Ѳеодо'ра	 
 	Феодорит		Ѳеодори'тъ	 
 	Феодосий		Ѳеодо'сій	 
 	Феодосия		Ѳеодо'сія (го'родъ)	 
 	Феодосия		Ѳеодо'сія, Ѳедо'сья (и'мя)	 
 	Феодот		Ѳеодо'тъ и Ѳедо'тъ	 
 	Феодул		Ѳеоду'лъ и Ѳеду'лъ	 
 	Феодулия		Ѳеоду'лія	 
 	Феокрит		Ѳеокри'тъ	 
 	Феоктист		Ѳеокти'стъ, Ѳекли'стъ	 
 	Феоктиста		Ѳеокти'ста	 
 	Феоктистов		Ѳеокти'стовъ	 
 	Феона		Ѳео'на	 
 	Феопемпт		Ѳеопе'мптъ	 
 	Феопомп		Ѳеопо'мпъ	 
 	Феопрепий		Ѳеопре'пій	 
 	феории		ѳео'ріи	 
 	Феостих		Ѳеости'хъ	 
 	Феотекн		Ѳеоте'кнъ	 
 	Феофан		Ѳеофа'нъ	 
 	Феофания		Ѳеофа'нія	 
 	Феофил		Ѳеофи'лъ	 
 	Феофила		Ѳеофи'ла	 
 	Феофилакт		Ѳеофила'ктъ	 
 	Феофраст		Ѳеофра'стъ	 
 	Ферапонт		Ѳерапо'нтъ	 
 	Ферберн		Фербе'рнъ	 
 	Фергана		Фергана'	 
 	Фергюсон		Фергюсо'нъ	 
 	Фердинанд		Фердина'ндъ	 
 	ферейн		фере'йнъ (о'бщество, сою'зъ)	 
 	ферзь		фе'рзь	 
 	ферзём		ферзёмъ	 
 	Ферм		Ѳе'рмъ	 
 	ферма		фе'рма, на фе'рмѣ	 
 	Ферма		Ферма'тъ	 
 	фермата		ферма'та (музыка'льный те'рминъ, продле'ніе зву'ка)	 
 	фермент		ферме'нтъ	 
 	ферментация		фермента'ція	 
 	ферментёр		ферментёръ	 
 	фермер		фе'рмеръ	 
 	Фермопилы		Ѳермопи'лы	 
