га 	гавань		га'вань	^
 	гаудеамус		гаудеа'мусъ (назва'ніе студе'нческой пѣ'сни на лати'нскомъ языкѣ')	 
 	гауптвахта		гауптва'хта, гауптва'хтенный (помѣще'ніе для содержа'нія подъ аре'стомъ военнослу'жащихъ)	 
 	гафель		га'фель (накло'нный ре'й, закрѣплённый одни'мъ концо'мъ къ ве'рхней ча'сти ма'чты)	 
 	гаченый		га'ченый (отъ гать — насти'лъ изъ брёвенъ и'ли хво'роста для проѣ'зда и прохо'да че'резъ то'пкое мѣ'сто)	 
 	гашёный		гашёный, гашёнаго	 
гв 	Гваделупа		Гваделу'па	^
 	гвардеец		гварде'ецъ, гварде'йцемъ, гварде'йцевъ, о гварде'йцѣ	 
 	гвардия		гва'рдія, гварде'йскій, гварде'йскаго	 
 	гверильясы		гверилья'сы (испа'нскіе партиза'ны)	 
 	Гвиана		Гвіа'на	 
 	Гвинея		Гвине'я	 
 	гвоздём		гвоздёмъ	 
 	гвоздика		гвозди'ка	 
 	гвоздодёр		гвоздодёръ	 
 	гвоздь		гво'здь, на гвоздѣ', гвоздёмъ	 
гд 	где		гдѣ	^
 	где-где		гдѣ-гдѣ?	 
 	где-либо		гдѣ-ли'бо	 
 	где ни есть		гдѣ ни есть	 
 	где-нибудь		гдѣ'-нибудь	 
 	где-то		гдѣ'-то	 
ге 	Геба		Ге'ба (Гебе'я)	^
 	гебраист		гебраистъ (учёный по ча'сти древне-евре'йскаго языка' и литерату'ры)	 
 	Гебридские		Гебри'дскіе (острова')	 
 	Гегель		Ге'гель	 
 	гегемония		гегемо'нія (главе'нство, госпо'дство; руководя'щая ро'ль)	 
 	гедонизм		гедони'змъ (стремле'ніе къ удово'льствіямъ, наслажде'ніямъ какъ вы'сшее бла'го, цѣ'ль жи'зни)	 
 	геенна		гее'нна (адъ), о'гненная гее'нна, въ о'гненной гее'ннѣ (не гее'на! и не гіе'нна!), но гіе'на (звѣ'рь)	 
 	гёз		гёзъ (уча'стникъ револю'ціи въ Нидерла'ндахъ)	 
 	гезель		ге'зель	 
 	гей		гей! (о'крикъ)	 
 	Гейгер		Ге'йгеръ	 
 	Гейдельберг		Гейдельбе'ргъ	 
 	гейзер		ге'йзеръ	 
 	Гейне		Ге'нрихъ Ге'йне	 
 	гейша		ге'йша (профессіона'льная танцо'вщица и пѣви'ца, обу'ченная умѣ'нію вести' свѣ'тскую бесѣ'ду и приглаша'емая для развлече'нія госте'й на пріёмахъ, банке'тахъ)	 
 	гекатомба		гекатомба (закла'ніе ста воло'въ въ честь бого'въ)	 
 	гекзаметр		гекза'метръ и экза'метръ (стихотво'рный размѣ'ръ)	 
 	геккон		гекко'нъ, гекко' (небольша'я я'щерица)	 
 	Гекла		Ге'кла	 
 	гексаэдр		гекса'эдръ (шестигра'нникъ)	 
 	гектар		гекта'ръ, въ гекта'рѣ, мн. де'сять гекта'ровъ (не де'сять гекта'ръ!)	 
 	гектограф		гекто'графъ (простѣ'йшій аппара'тъ для печа'танія о'ттисковъ съ те'кста)	 
 	Гекуба		Геку'ба	 
 	гелий		ге'лій	 
 	Геликон		Гелико'нъ	 
 	Гелиос		Ге'ліосъ	 
 	гелиотроп		геліотро'пъ	 
 	Геллеспонт		Геллеспо'нтъ	 
 	Геллия		Ге'ллія	 
 	Гельголанд		Гельгола'ндъ	 
 	Гельсингфорс		Гельсингфо'рсъ	 
 	гематит		гемати'тъ (минера'лъ, окси'дъ желѣ'за)	 
 	гематома		гемато'ма (скопле'ніе кро'ви при закры'тыхъ поврежде'ніяхъ; синя'къ)	 
 	гемма		ге'мма (рѣзно'й ка'мень съ вы'пуклымъ и'ли углублённымъ изображе'ніемъ, на'дписью)	 
 	гемоглобин		гемоглоби'нъ	 
 	геморрой		геморро'й, при геморро'ѣ	 
 	гемофилия		гемофилі'я (болѣ'знь — пони'женная свёртываемость кро'ви)	 
 	гендерный		ге'ндерный	 
 	генеалогия		генеало'гія (нау'ка, изуча'ющая происхожде'ніе и ро'дственныя свя'зи отдѣ'льныхъ родо'въ)	 
 	генезис		ге'незисъ (происхожде'ніе, возникнове'ніе; исто'рія зарожде'нія и послѣ'дующаго разви'тія)	 
 	генерал		генера'лъ, о генера'лѣ	 
 	генерал-адьютант		генера'лъ-адьюта'нтъ	 
 	генерал-аншеф		генера'лъ-анше'фъ	 
 	генерал-губернатор		генера'лъ-губерна'торъ	 
 	генерал-майор		генера'лъ-майо'ръ и генера'лъ-маіо'ръ	 
 	генералиссимус		генерали'ссимусъ	 
 	генералитет		генералите'тъ	 
 	генерального		генера'льнаго	 
 	генеральные		генера'льные (м. р.), генера'льныя (ж. р. и ср. р.)	 
 	генеральный		генера'льный, генера'льнаго	 
 	генератор		генера'торъ, въ генера'торѣ	 
 	генерация		генера'ція	 
 	генетика		гене'тика, въ гене'тикѣ	 
 	генетический		генети'ческій, генети'ческаго, генети'ческое	 
 	гениальнее		геніа'льнѣе	 
 	гениальнейший		геніа'льнѣйшій	 
 	гениально		геніа'льно	 
 	гениального		геніа'льнаго	 
 	гениальное		геніа'льное	 
 	гениальные		геніа'льные (м. р.), геніа'льныя (ж. р. и ср. р.)	 
 	гениальный		геніа'льный, геніа'льное	 
 	гений		ге'ній, ге'ніемъ, ге'нію, о ге'ніи	 
 	Геннадий		Генна'дій, Генна'діевичъ и Генна'дьевичъ	 
 	Геннисаретское		Геннисаре'тское (о'зеро)	 
 	генотип		геноти'пъ, въ геноти'пѣ	 
 	генофонд		генофо'ндъ	 
 	геноцид		геноци'дъ	 
 	Гент		Ге'нтъ	 
 	Генуэзский		Генуэ'зскій	 
 	Генуя		Ге'нуя	 
 	географические		географи'ческіе (м. р.), географи'ческія (ж. р. и ср. р.)	 
 	географический		географи'ческій, географи'ческаго	 
 	географического		географи'ческаго	 
 	географическое		географи'ческое (о'бщество)	 
 	география		геогра'фія	 
 	геодезист		геодези'стъ	 
 	геодезистка		геодези'стка	 
 	геодезический		геодези'ческій, геодези'ческаго	 
 	геодезия		геоде'зія	 
 	геодиметр		геоди'метръ	 
 	геодинамика		геодина'мика	 
 	геоид		гео'идъ	 
 	геологический		геологи'ческій	 
 	геомант		геома'нтъ (землегада'тель по сдѣ'ланнымъ на уда'чу то'чкамъ)	 
 	геометрия		геоме'трія, геоме'тръ	 
 	Георгиевск		Гео'ргіевскъ	 
 	Георгиевский		Гео'ргіевскій кавале'ръ, Гео'ргіевскаго	 
 	Георгий		Гео'ргій, Его'рій	 
 	георгин		георги'нъ, георги'на	 
 	гепард		гепа'рдъ	 
 	гепатит		гепати'тъ	 
 	Геракл		Гера'клъ	 
 	Гераклит		Геракли'тъ	 
 	геральдика		гера'льдика (составле'ніе, истолкова'ніе и изуче'ніе гербо'въ)	 
 	герань		гера'нь	 
 	Герасим		Гера'симъ и Гара'симъ	 
 	герб		ге'рбъ, на гербѣ'	 
 	гербарий		герба'рій	 
 	гербовая		ге'рбовая, гербова'я (спеціа'льная ма'рка госуда'рственнаго сбо'ра; бума'га съ гербо'мъ)	 
 	гербовый		ге'рбовый, гербово'й	 
 	Геркулес		Геркуле'съ	 
 	Герман		Ге'рманъ	 
 	Германия		Герма'нія	 
 	гермафродит		гермафроди'тъ (органи'змъ, имѣ'ющій при'знаки какъ мужско'го, такъ и же'нскаго по'ла)	 
 	герменевтика		гермене'втика (толкова'ніе те'кстовъ, первонача'льный смы'слъ кото'рыхъ нея'сенъ вслѣ'дствіе ихъ дре'вности и'ли непо'лной сохра'нности)	 
 	Гермес		Герме'съ	 
 	герметический		гермети'ческій	 
 	герои		геро'и, геро'ямъ, геро'ями, о геро'яхъ	 
 	героизм		герои'змъ, о герои'змѣ	 
 	героин		герои'нъ (сре'дство для раще'нія воло'съ :)	 
 	героиня		герои'ня, герои'нямъ, герои'нями, о герои'няхъ	 
 	героические		герои'ческіе (м. р.), герои'ческія (ж. р. и ср. р.)	 
 	героическое		герои'ческое	 
 	герой		геро'й, геро'ю, геро'емъ, о геро'ѣ, геро'евъ, геро'ями	 
 	геройские		геро'йскіе (м. р.), геро'йскія (ж. р. и ср. р.)	 
 	геройское		геро'йское	 
 	геройство		геро'йство, въ геро'йствѣ	 
