 	тарантас		таранта'съ (про'чный доро'жный экипа'жъ, представля'ющій улу'чшенную телѣ'гу на дли'нныхъ дро'гахъ), въ таранта'сѣ	 
 	тарантелла		таранте'лла (неаполита'нскій та'нецъ чрезвыча'йно бы'страго те'мпа)	 
 	Тарасий		Тара'сій, Тара'съ	 
 	таратайка		тарата'йка (родъ дереве'нскаго двухколёснаго экипа'жа)	 
 	тараторить		тарато'рить (болта'ть безъ у'молку)	 
 	Тардье		Тардье'	 
 	тарелка		таре'лка, въ таре'лкѣ	 
 	тарель		таре'ль (за'дняя пове'рхность заряжа'вшихся съ ду'ла артиллері'йскихъ ору'дій)	 
 	Тарент		Таре'нтъ	 
 	тариф		тарифъ (обнаро'дованная ро'спись цѣ'намъ и'ли пла'ты за прово'зъ пассажи'ровъ и това'ра)	 
 	татарин		тата'ринъ, им. п. мн. ч. тата'ры	 
 	татарские		тата'рскіе (м. р.), тата'рскія (ж. р. и ср. р.)	 
 	татарское		тата'рское	 
 	татерсаль		татерса'ль (мѣ'сто собра'нія люби'телей верхово'й ѣзды')	 
 	Татищев		Тати'щевъ	 
 	тать		тать (во'ръ) — уcтap., та'темъ, та'тей, о та'тѣ	 
 	татьба		татьба' (воровство') — уcтap.	 
 	Татьяна		Татья'на и Татіа'на	 
 	татьянка		татья'нка (пла'тье)	 
 	тафельдекер		тафельде'керъ (придво'рный служи'тель, накрыва'ющій на сто'лъ и убира'ющій со стола' и'ли наблюда'ющій за э'той процеду'рой)	 
 	тафта		тафта', тафтя'ный	 
 	тафья		тафья' (небольша'я ша'пка въ ро'дѣ скуфьи', вы'шитая зо'лотомъ и же'мчугомъ), мн. тафе'й	 
 	тахеометр		тахео'метръ (теодоли'тъ, слу'жащій для бы'стрыхъ землемѣ'рныхъ съёмокъ; опти'ческій измѣри'тель разстоя'ній)	 
 	тахиграфия		тахигра'фія (то же, что стеногра'фія)	 
 	тахиметрия		тахиме'трія (измѣре'ніе ско'рости ра'знаго ро'да движе'ній)	 
 	тахометр		тахометръ (аппара'тъ, слу'жащій для измѣре'нія ско'рости движе'нія отдѣ'льныхъ часте'й маши'ны и'ли ско'рости тече'нія воды')	 
 	Ташкент		Ташке'нтъ	 
 	тащу		тащу', та'щишь	 
 	таю		та'ю, та'ешь (отъ та'ять, раста'ять)	 
 	таю		таю', таи'шь (отъ таи'ть, ута'ивать)	 
тб 	Тбилиси		Тифли'съ, въ Тифли'сѣ	^
тв 	тварь		тварь, тва'рей, тва'ри	^
 	твердеет		твердѣ'етъ	 
 	твердел		твердѣ'лъ	 
 	твёрденький		твёрденькій	 
 	твердеть		твердѣ'ть	 
 	твердил		тверди'лъ, тверди'ла, тверди'ли	 
 	твердит		тверди'тъ, тверди'те	 
 	твердить		тверди'ть	 
 	Твердислав		Твердисла'въ	 
 	твердо		Т — тве'рдо — девятна'дцатая бу'ква ру'сской а'збуки	 
 	твёрдо		твёрдо	 
 	твёрдое		твёрдое	 
 	твердокопчёный		твердокопчёный (не твёрдокопчёный!)	 
 	твёрдому		твёрдому	 
 	твёрдость		твёрдость	 
 	Твердохлебов		Твердохлѣ'бовъ	 
 	твердь		тве'рдь	 
 	твёрдый		твёрдый, твёрдаго, твердѣ'ть	 
 	твердыня		тверды'ня	 
 	твердят		твердя'тъ	 
 	тверёзый		тверёзый (тре'звый) — уcтap.	 
 	твержённый		твержённый	 
 	Тверитинов		Тверити'новъ	 
 	Тверская		Тверска'я	 
 	Тверь		Тве'рь	 
 	твоё		твоё, твоего', твое'й, твоему', твоёмъ	 
 	твоего		твоего'	 
 	твоей		твое'й, твое'ю	 
 	твоём		твоёмъ	 
 	твоему		твоему' (по твоему' мнѣ'нію), но сдѣ'лать по-тво'ему	 
 	творение		творе'ніе	 
 	творённый		творённый	 
 	творец		творе'цъ	 
 	творог		творо'гъ	 
 	творческие		тво'рческіе (м. р.), тво'рческія (ж. р. и ср. р.)	 
 	творческий		тво'рческій, тво'рческаго	 
 	творческого		тво'рческаго	 
 	творческое		тво'рческое	 
 	творчество		тво'рчество, въ тво'рчествѣ	 
те 	те		те (сокр. тебѣ' — вотъ те разъ!)	^
 	те		тѣ, тѣ'ми, тѣмъ, тѣхъ	 
 	театр		теа'тръ, въ теа'трѣ	 
 	театрал		театра'лъ	 
 	театральные		театра'льные (м. р.), театра'льныя (ж. р. и ср. р.)	 
 	театральный		театра'льный, театра'льнаго	 
 	тебе		тебѣ'	 
 	Тебе		Тебе' (церк.-сл. Тебя' — «Тебе' Бо'га хва'лимъ...»)	 
 	тебя		тебя', къ тебѣ', тобо'й	 
 	Тевкр		Те'вкръ	 
 	тевтоны		тевто'ны (герма'нское пле'мя)	 
 	Тегеран		Тегера'нъ	 
 	Тегеттгоф		Тегеттго'фъ	 
 	Тегнер		Те'гнеръ	 
