ра 	Рабле		Рабле'	^
 	развешен		развѣ'шенъ (отъ развѣ'сить), развѣ'шанъ (отъ развѣ'шать)	 
 	развешенный		развѣ'шенный	 
 	развеют		развѣ'ютъ	 
 	развеянный		развѣ'янный	 
 	развеять		развѣ'ять	 
 	развеяться		развѣ'яться	 
 	развиваете		развива'ете	 
 	развиваетесь		развива'етесь	 
 	развивается		развива'ется, развива'емся, развива'ешься	 
 	развитие		разви'тіе, въ разви'тіи	 
 	развлекательный		развлека'тельный	 
 	развлёкся		развлёкся	 
 	развлёкшийся		развлёкшійся	 
 	развлечение		развлече'ніе	 
 	развлечённый		развлечённый	 
 	развлечь		развле'чь, развлеку', развлечётъ, развлеку'тъ, развлёкъ, развлекла'	 
 	развод		разво'дъ, въ разво'дѣ	 
 	разволочённый		разволочённый	 
 	разворошённый		разворошённый	 
 	разврат		развра'тъ, въ развра'тѣ, развра'тенъ	 
 	развратен		развра'тенъ	 
 	развратитель		разврати'тель, разврати'телемъ	 
 	развратительница		разврати'тельница, разврати'тельницей	 
 	развратнее		развра'тнѣе	 
 	развратное		развра'тное, развра'тнаго	 
 	развратные		развра'тные (м. р.), развра'тныя (ж. р. и ср. р.)	 
 	развращение		развраще'ніе	 
 	развращённый		развращённый, развращённаго	 
 	разглашённый		разглашённый, разглашённаго	 
 	разглядел		разглядѣ'лъ	 
 	разглядеть		разглядѣ'ть	 
 	разгневаться		разгнѣ'ваться	 
 	разговаривать		разгова'ривать, разгова'риваемъ, разгова'риваетъ, разгова'риваешь	 
 	разговение		разговѣ'ніе и ро'зговѣнье	 
 	разговеться		разговѣ'ться	 
 	разговор		разгово'ръ, въ разгово'рѣ	 
 	разговорённый		разговорённый	 
 	разгораться		разгора'ться, разгора'ется	 
 	разгорелось		разгорѣ'лось	 
 	разгорячённый		разгорячённый	 
 	разграфлённый		разграфлённый	 
 	разгребать		разгреба'ть	 
 	разгребённый		разгребённый	 
 	разгрёбший		разгрёбшій	 
 	разгромленный		разгро'мленный	 
 	разгруженный		разгру'женный	 
 	разгрузка		разгру'зка, при разгру'зкѣ, на разгру'зкѣ	 
 	разгрызенный		разгры'зенный	 
 	разгрызёшь		разгрызёшь	 
 	раздавленный		разда'вленный	 
 	раздаёт		раздаётъ	 
 	раздать		разда'ть и розда'ть, розда'лъ	 
 	раздвинет		раздви'нетъ, раздви'нете	 
