за 	заалеть		заалѣ'ть	^
 	завладевший		завладѣ'вшій, завладѣ'вшаго	 
 	завладеет		завладѣ'етъ	 
 	завладеешь		завладѣ'ешь	 
 	завладеть		завладѣ'ть	 
 	завлёк		завлёкъ	 
 	завлекать		завлека'ть	 
 	завлечён		завлечёнъ	 
 	завлечь		завле'чь, завлеку', завлечётъ, завлеку'тъ, завлёкъ, завлекла'	 
 	заводовладелец		заводовладѣ'лецъ	 
 	завоёван		завоёванъ	 
 	завоевание		завоева'ніе	 
 	завоёванного		завоёваннаго	 
 	завоёванное		завоёванное	 
 	завоёванные		завоёванные (м. р.), завоёванныя (ж. р. и ср. р.)	 
 	завоёванный		завоёванный	 
 	завоеватель		завоева'тель	 
 	завоевать		завоева'ть	 
 	Заволжье		Заво'лжье	 
 	Заволочье		Заволо'чье	 
 	заворожённый		заворожённый, заворожённаго	 
 	заворотень		за'воротень (то, что завора'чивается; то, чѣ'мъ завора'чиваютъ)	 
 	завоюем		завою'емъ	 
 	заврёшься		заврёшься, заврёмся, заврётся, заврётесь	 
 	завсегда		завсегда' (всегда')	 
 	завсегдатай		завсегда'тай (ча'стый, постоя'нный посѣти'тель)	 
 	завтрашнего		за'втрашняго	 
 	завтрашнее		за'втрашнее	 
 	завтрашний		за'втрашній, за'втрашняго	 
 	завьёт		завьётъ, завьётся	 
 	завьётесь		завьётесь, завьёте	 
 	завьёшься		завьёшься, завьёшь	 
 	загаженный		зага'женный, зага'женнаго	 
 	заглавие		загла'віе	 
 	заглаженный		загла'женный, загла'женнаго	 
 	за глаза		за глаза' (руга'ть за глаза' — въ отсу'тствіе того', кого' руга'ютъ)	 
 	заглазеется		заглазѣ'ется	 
 	заглазеться		заглазѣ'ться	 
 	заглотнёт		заглотнётъ	 
 	заглублён		заглублёнъ	 
 	заглушён		заглушёнъ	 
 	заглядение		заглядѣ'ніе	 
 	загляделся		заглядѣ'лся	 
 	заглядеться		заглядѣ'ться	 
 	заглянет		загля'нетъ	 
 	заглянете		загля'нете	 
 	загнём		загнёмъ	 
 	загнёмся		загнёмся	 
 	загнета		загнѣ'та, загнѣ'тка (площа'дка пе'редъ у'стьемъ ру'сской печи'; шесто'къ)	 
 	загнётся		загнётся	 
 	загнёшься		загнёшься	 
 	загниёт		загніётъ	 
 	заговенье		за'говѣнье (послѣ'дній де'нь пе'редъ посто'мъ)	 
 	заговорённый		заговорённый	 
 	заголённый		заголённый	 
 	заголовок		заголо'вокъ, въ заголо'вкѣ	 
 	загорание		загора'ніе	 
 	загорать		загора'ть и загара'ть	 
 	загоревать		загорева'ть	 
 	загорелый		загорѣ'лый	 
 	загорье		заго'рье	 
 	заграждение		загражде'ніе	 
 	заграждённый		заграждённый	 
 	заграница		заграни'ца (намъ заграни'ца не указъ, шля'ться по заграни'цамъ)	 
 	заграницей		заграни'цей (торгова'ть съ заграни'цей)	 
 	за границей		за грани'цей, за грани'цею (жить за грани'цей)	 
 	за границу		за грани'цу (поѣ'хать за грани'цу)	 
 	заграницу		заграни'цу (люби'ть заграни'цу)	 
 	заграничного		заграни'чнаго	 
 	заграничное		заграни'чное	 
 	заграничные		заграни'чные (м. р.), заграни'чныя (ж. р. и ср. р.)	 
 	заграничный		заграни'чный, заграни'чнаго, заграни'чная	 
 	Загреб		За'гребъ	 
 	загрёб		загрёбъ	 
 	загребать		загреба'ть	 
 	загребёт		загребётъ	 
 	загребной		загребно'й (гребе'цъ, рабо'тающій пе'рвымъ отъ кормы' лѣ'вымъ весло'мъ и'ли па'рой вёселъ)	 
 	загребтилось		загре'бтилось (тоска' нашла') — уcтap.	 
 	загребущий		загребу'щій, загребу'щаго	 
 	загреметь		загремѣ'ть	 
 	загромождённый		загромождённый	 
 	загрубелый		загрубѣ'лый	 
 	загрубеть		загрубѣ'ть	 
 	загрызенный		загры'зенный	 
 	загрызёт		загрызётъ, загрызёте	 
 	загрязнённый		загрязнённый	 
 	загудел		загудѣ'лъ	 
 	загудеть		загудѣ'ть	 
 	загустевать		загустѣва'ть	 
 	загустеть		загустѣ'ть	 
 	загущённый		загущённый	 
 	задавленный		зада'вленный	 
 	задавшее		зада'вшее	 
 	задаём		задаёмъ	 
 	задаёт		задаётъ	 
 	задаёшь		задаёшь	 
 	задайте		зада'йте	 
 	задание		зада'ніе	 
 	задача		зада'ча, въ зада'чѣ, зада'чей	 
 	задвинет		задви'нетъ, задви'нете	 
 	задевать		задѣва'ть	 
 	задел		задѣ'лъ (что'-либо, загото'вленное про запа'съ, на бу'дущее), въ задѣ'лѣ	 
 	задел		задѣ'лъ (задѣ'ть)	 
 	заделать		задѣ'лать	 
 	задело		задѣ'ло (косну'лось)	 
 	за дело		за дѣ'ло (подѣло'мъ)	 
 	задену		задѣ'ну	 
 	задёргал		задёргалъ	 
 	задерёт		задерётъ, задери'	 
 	задержал		задержа'лъ	 
 	задержка		заде'ржка	 
 	задёрнуть		задёрнуть	 
 	задеть		задѣ'ть	 
 	задёшево		задёшево	 
 	задневать		заднева'ть	 
 	заднего		за'дняго	 
 	заднее		за'днее	 
 	Заднепровье		Заднѣпро'вье	 
 	заднепроходный		заднепрохо'дный	 
 	задние		за'дніе (м. р.), за'днія (ж. р. и ср. р.)	 
 	задний		за'дній, за'дняго	 
 	задобренный		задо'бренный	 
 	задолго		задо'лго	 
 	задолженность		задо'лженность	 
 	задохнётесь		задохнётесь	 
 	задребезжать		задребезжа'ть	 
 	задрейфить		задре'йфить	 
 	задремать		задрема'ть (дрёма)	 
 	задрёмывать		задрёмывать	 
 	задует		заду'етъ	 
 	задуешь		заду'ешь	 
 	задувает		задува'етъ	 
 	задуваешь		задува'ешь	 
 	задувший		заду'вшій	 
 	задумчивое		заду'мчивое, заду'мчиваго	 
 	задумчивые		заду'мчивые (м. р.), заду'мчивыя (ж. р. и ср. р.)	 
 	задурённый		задурённый	 
 	задушевнее		задуше'внѣе	 
 	задушевного		задуше'внаго	 
 	задушевное		задуше'вное	 
 	задушевные		задуше'вные (м. р.), задуше'вныя (ж. р. и ср. р.)	 
 	задушевный		задуше'вный, задуше'внаго	 
 	задушенный		заду'шенный, заду'шеннаго	 
 	задымлённый		задымлённый	 
 	задыхается		задыха'ется	 
 	заегозить		заегози'ть	 
 	заедает		заѣда'етъ	 
 	заедет		заѣ'детъ, заѣ'дете, заѣ'демъ, заѣ'дешь, заѣ'дутъ, заѣ'дьте	 
 	заедино		заеди'но (сообща', вмѣ'стѣ, нераздѣ'льно)	 
 	заёжиться		заёжиться	 
 	заезд		заѣ'здъ, въ заѣ'здѣ	 
 	заездить		заѣ'здить	 
 	заезжать		заѣзжа'ть, заѣзжа'йте, заѣзжа'ете	 
 	заезжего		заѣ'зжаго	 
 	заезженный		заѣ'зженный	 
 	заезжие		заѣ'зжіе (м. р.), заѣ'зжія (ж. р. и ср. р.)	 
 	заезжий		заѣ'зжій	 
 	заёкать		заёкать	 
 	заелозить		заело'зить	 
 	заём		заёмъ	 
 	заемлет		зае'млетъ (принима'етъ, че'рпаетъ)	 
 	заёмщик		заёмщикъ	 
 	заёрзать		заёрзать	 
 	заерошиться		заеро'шиться	 
 	заершиться		заерши'ться, заёршиться	 
 	заесть		заѣ'сть	 
 	заехала		заѣ'хала	 
 	заехать		заѣ'хать	 
 	заехидничать		заехи'дничать	 
 	зажаренный		зажа'ренный	 
 	зажелтеть		зажелтѣ'ть	 
 	зажечь		заже'чь	 
 	заждётесь		заждётесь	 
 	зажёг		зажёгъ, (не зажо'гъ :)	 
 	зажжённый		зажжённый	 
 	зажжём		зажжёмъ, (не зажжомъ :)	 
 	заживём		заживёмъ	 
 	заживёт		заживётъ	 
 	заживёшь		заживёшь	 
 	заживлён		заживлёнъ	 
 	заживление		заживле'ніе	 
 	заживо		за'живо	 
 	зажирелый		зажирѣ'лый	 
 	зажиреть		зажирѣ'ть	 
 	зажмём		зажмёмъ	 
 	зажмёт		зажмётъ	 
 	зажмёшь		зажмёшь	 
 	зажрётся		зажрётся	 
 	зажуём		зажуёмъ	 
 	зажуёт		зажуётъ	 
 	зажуёшь		зажуёшь	 
 	зазвенеть		зазвенѣ'ть	 
 	зазеваться		зазѣва'ться	 
 	зазеленеть		зазеленѣ'ть	 
 	заземление		заземле'ніе	 
 	заземлённый		заземлённый	 
 	зазеркалье		зазерка'лье	 
 	зазимье		зази'мье	 
 	зазовёт		зазовётъ	 
 	зазрение		зазрѣ'ніе (безъ зазрѣ'нія со'вѣсти — безъ стѣсне'нія, не испы'тывая стыда')	 
 	зазубренный		зазу'бренный	 
 	заикание		заика'ніе	 
 	заикнётся		заикнётся	 
 	заилеть		заилѣ'ть	 
 	заимеет		заимѣ'етъ, заимѣ'емъ, заимѣ'ешь	 
 	заимел		заимѣ'лъ, заимѣ'ли, заимѣ'ла	 
 	заиметь		заимѣ'ть	 
 	заимодавец		заимода'вецъ	 
 	заимствование		заи'мствованіе	 
 	заиндевелый		заиндевѣ'лый, заиндивѣ'лый	 
 	заиндеветь		заиндевѣ'ть, заиндивѣ'ть	 
 	заинтересован		заинтересо'ванъ	 
 	заинька		за'инька, за'енька	 
 	зайдём		зайдёмъ	 
 	займём		займёмъ	 
 	займёт		займётъ	 
 	займище		за'ймище (прибре'жная полоса', затопля'емая разли'вомъ)	 
 	Зайончек		Заіо'нчекъ	 
 	зайти		зайти'	 
 	Зайцев		За'йцевъ	 
 	зайчонок		зайчёнокъ	 
 	закабаление		закабале'ніе	 
 	закабалённый		закабалённый	 
 	закадычный		закады'чный (бли'зкій, задуше'вный — о дру'гѣ, прія'телѣ и'ли о дру'жескихъ, прія'тельскихъ отноше'ніяхъ)	 
 	закажет		зака'жетъ, зака'жемъ, зака'жешь	 
 	заказ		зака'зъ, въ зака'зѣ, по зака'зу, на зака'зъ	 
 	заказец		зака'зецъ, зака'зцемъ	 
 	заказное		заказно'е, заказно'го	 
 	заказные		заказны'е (м. р.), заказны'я (ж. р. и ср. р.)	 
 	заказчик		зака'зчикъ	 
 	закалённого		закалённаго	 
 	закалённое		закалённое	 
 	закалённые		закалённые (м. р.), закалённыя (ж. р. и ср. р.)	 
 	закалённый		закалённый, закалённаго	 
 	Закамье		Зака'мье	 
 	закат		зака'тъ, на зака'тѣ	 
 	Закинф		Заки'нѳъ	 
 	закипел		закипѣ'лъ	 
 	заклание		закла'ніе (преда'ніе сме'рти пронза'ніемъ ко'лющимъ ору'жіемъ, обы'чно при жертвоприноше'ніи)	 
 	заклёванный		заклёванный	 
 	заклеенный		закле'енный	 
 	заклеймённый		заклеймённый	 
 	заклёпка		заклёпка, на заклёпкѣ	 
 	заклиненный		закли'ненный	 
 	заклинённый		заклинённый	 
 	заклинье		закли'нье	 
 	заклюёт		заклюётъ	 
 	заключает		заключа'етъ	 
 	заключение		заключе'ніе, заключа'етъ	 
 	заключённый		заключённый, заключённаго	 
 	заключительный		заключи'тельный	 
 	заклятие		закля'тіе (заклина'ніе; на нёмъ лежи'тъ закля'тіе — онъ заколдо'ванъ)	 
 	заковать		закова'ть	 
 	заколебать		заколеба'ть	 
 	заколесить		заколеси'ть	 
 	заколоченный		заколо'ченный	 
 	закон		зако'нъ, воръ въ зако'нѣ	 
 	законен		зако'ненъ	 
 	законного		зако'ннаго	 
 	законное		зако'нное тре'бованіе полице'йскаго инспе'ктора	 
 	законнорождённый		законнорождённый, законнорождённаго	 
 	законность		зако'нность	 
 	законные		зако'нные (м. р.), зако'нныя (ж. р. и ср. р.)	 
 	законный		зако'нный, зако'ннаго, зако'ненъ	 
 	законоведение		законовѣ'дѣніе	 
 	законодательный		законода'тельный, законода'тельнаго	 
 	закономерно		закономѣ'рно	 
 	закономерный		закономѣ'рный, закономѣ'рнаго	 
 	законопаченный		законопа'ченный	 
 	законопреступник		законопресту'пникъ	 
 	законченый		зако'нченый	 
 	закопёрщик		закопёрщикъ (зачи'нщикъ, верхово'дъ)	 
 	закоптелый		закоптѣ'лый	 
 	закопчённый		закопчённый	 
 	закоренелый		закоренѣ'лый	 
 	закормленный		зако'рмленный	 
 	закоснелый		закоснѣ'лый	 
 	закостенелый		закостенѣ'лый	 
 	закоулок		закоу'локъ, въ закоу'лкѣ	 
 	закоулочек		закоу'лочекъ, въ закоу'лочкѣ	 
 	закоченелый		закоченѣ'лый, закоченѣ'лаго	 
 	закрадётся		закрадётся	 
 	закраснеться		закраснѣ'ться	 
 	закрашенный		закра'шенный, закра'шеннаго	 
 	закрепить		закрѣпи'ть, закрѣпи'ться	 
 	закреплён		закрѣплёнъ	 
 	закрепостить		закрѣпости'ть	 
 	закрепощённый		закрѣпощённый	 
 	закрепощение		закрѣпоще'ніе	 
 	закреститься		закрести'ться	 
 	закривлённый		закривлённый	 
 	закроет		закро'етъ (закры'ть), закро'йте, закро'йтесь	 
 	закругление		закругле'ніе	 
 	закруглённый		закруглённый	 
 	закрученный		закру'ченный	 
 	закрывайте		закрыва'йте, закрыва'ете, закрыва'етъ	 
 	закуёт		закуётъ	 
 	закукарекать		закукаре'кать	 
 	закупленный		заку'пленный	 
 	закупоренный		заку'поренный	 
 	Закхей		Закхе'й	 
 	зал		залъ (въ обще'ственномъ собра'ніи), за'ла и за'ло (въ до'мѣ), въ за'лѣ	 
 	зала		за'ла и за'ло (въ до'мѣ), въ за'лѣ	 
 	залёг		залёгъ, залегла', залегли'	 
 	залёгший		залёгшій, залёгшаго	 
 	заледенеть		заледенѣ'ть	 
 	залежалый		залежа'лый, залежа'лаго, залежа'лое	 
 	залёживаться		залёживаться	 
 	залежь		за'лежь	 
 	залез		залѣ'зъ, залѣ'зла, залѣ'зли	 
