за 	заалеть		заалѣ'ть	^
 	заодно		заодно' (наpѣч.), но за одно' сло'во	 
 	заозерье		заозе'рье	 
 	заозёрье		заозёрье	 
 	за океаном		за океа'номъ	 
 	заокеанские		заокеа'нскіе (м. р.), заокеа'нскія (ж. р. и ср. р.)	 
 	заокеанский		заокеа'нскій, заокеа'нскаго	 
 	заокеанского		заокеа'нскаго	 
 	заокеанское		заокеа'нское	 
 	заорём		заорёмъ	 
 	заорёт		заорётъ	 
 	заорёшь		заорёшь	 
 	заострённый		заострённый	 
 	заочное		зао'чное	 
 	запавшее		запа'вшее	 
 	запад		за'падъ, на за'падѣ	 
 	западёт		западётъ	 
 	западнее		за'паднѣе	 
 	западнёй		западнёй, въ западнѣ'	 
 	западноевропейский		за'падно-европе'йскій	 
 	западные		за'падные (м. р.), за'падныя (ж. р. и ср. р.)	 
 	западня		западня', въ западнѣ', западнёй	 
 	запакощенный		запа'кощенный	 
 	запалённый		запалённый	 
 	запальчивый		запа'льчивый	 
 	запанибрата		за-панибра'та (какъ съ ра'внымъ; безцеремо'нно, за'просто)	 
 	запасённый		запасённый	 
 	запасливый		запа'сливый	 
 	запах		за'пахъ (воспрія'тіе обоня'нія), запа'хъ (у оде'жды)	 
 	запахнет		запа'хнетъ (отъ за'пахъ)	 
 	запахнёт		запахнётъ (отъ запахну'ть)	 
 	запев		запѣ'въ	 
 	запевала		запѣва'ла и запѣва'ло	 
 	запей		запе'й	 
 	запекание		запека'ніе	 
 	запеканка		запека'нка	 
 	запёкшийся		запёкшійся	 
 	запеленать		запелена'ть	 
 	запенивать		запѣ'нивать	 
 	запер		за'перъ (на запо'ръ)	 
 	запереть		запере'ть, запрётъ, за'перъ, заперла', за'перло	 
 	заперт		за'пертъ, за'перто, заперта', за'перты	 
 	заперта		заперта'	 
 	заперто		за'перто	 
 	запертого		за'пертаго	 
 	запертое		за'пертое	 
 	запертые		за'пертые (м. р.), за'пертыя (ж. р. и ср. р.)	 
 	запертый		за'пертый, за'пертаго	 
 	заперхать		запе'рхать	 
 	заперший		за'першій, за'першійся	 
 	запершить		запе'ршить	 
 	запестреть		запестрѣ'ть	 
 	запеть		запѣ'ть	 
 	запечатать		запеча'тать, запеча'тывать	 
 	запечатлённый		запечатлѣ'нный (не запечетлѣ'нный!)	 
 	запечатлеть		запечатлѣ'ть, запечатлѣ'нъ (воплоти'ть въ произведе'ніи иску'сства; сохрани'ть въ па'мяти)	 
 	запечённый		запечённый	 
 	запечь		запе'чь	 
 	запечье		запе'чье	 
 	запирает		запира'етъ	 
 	запирательство		запира'тельство	 
 	запихнёшь		запихнёшь	 
 	запишем		запи'шемъ	 
 	заплатишь		запла'тишь, запла'тятъ, запла'ченъ (пpич., произн. запло'ченъ)	 
 	заплачем		запла'чемъ	 
 	заплёванный		заплёванный	 
 	заплевать		заплева'ть	 
 	заплёсканный		заплёсканный	 
 	заплескать		заплеска'ть	 
 	заплесневеть		заплѣ'сневѣть, заплѣ'снѣть	 
 	заплёсок		заплёсокъ	 
 	заплести		заплести', запле'сть	 
 	заплетать		заплета'ть	 
 	заплетём		заплетёмъ	 
 	заплетён		заплетёнъ	 
 	заплечик		запле'чикъ	 
 	заплечный		запле'чный; запле'чныхъ дѣ'лъ ма'стеръ (пала'чъ)	 
 	заплешивевший		заплѣши'вѣвшій	 
 	заплешиветь		заплѣши'вѣть, заплѣши'вѣю, заплѣши'вѣетъ	 
 	заплывёт		заплывётъ	 
 	заплюёт		заплюётъ	 
 	запнётся		запнётся	 
 	заповедание		заповѣ'даніе	 
 	заповедь		за'повѣдь (религіо'зно-нра'вственное предписа'ніе)	 
 	заповедник		заповѣ'дникъ, въ заповѣ'дникѣ	 
 	заповедного		заповѣ'днаго	 
 	заповедное		заповѣ'дное	 
 	заповедные		заповѣ'дные (м. р.), заповѣ'дныя (ж. р. и ср. р.)	 
 	заповедный		заповѣ'дный, заповѣ'днаго	 
 	заповедовать		заповѣ'довать, заповѣ'дуетъ	 
 	заповедующий		заповѣ'дующій, заповѣ'дующаго	 
 	заподлинно		запо'длинно (и'стинно, по'длинно)	 
 	заподозрен		заподо'зрѣнъ	 
 	запоём		запоёмъ (отъ пѣть)	 
 	запоем		запо'емъ (пить запо'емъ), въ запо'ѣ	 
 	запоёшь		запоёшь	 
 	запойное		запо'йное, запо'йнаго	 
 	запойные		запо'йные (м. р.), запо'йныя (ж. р. и ср. р.)	 
 	заполёванный		заполёванный	 
 	заполевать		заполева'ть (добы'ть на охо'тѣ)	 
 	заползёт		заползётъ	 
 	заполнен		запо'лненъ	 
 	заполнение		заполне'ніе	 
 	заполненный		запо'лненный	 
 	заполонённый		заполонённый	 
 	заполье		запо'лье (да'льніе уча'стки па'хотной земли', да'льнія поля')	 
 	запомненный		запо'мненный	 
 	запонка		за'понка	 
 	запорожец		запоро'жецъ (каза'къ изъ Запоро'жской Сѣчи')	 
 	Запорожье		Запоро'жье	 
 	запорошённый		запорошённый	 
 	запотеть		запотѣ'ть	 
 	запредельный		запредѣ'льный, запредѣ'льнаго, запредѣ'льное	 
 	запрелый		запрѣ'лый, запрѣ'лаго	 
 	запрёмся		запрёмся	 
 	запрет		запре'тъ, въ запре'тѣ	 
 	запрёт		запрётъ	 
 	запрётесь		запрётесь	 
 	запретить		запрети'ть	 
 	запретные		запре'тные (м. р.), запре'тныя (ж. р. и ср. р.)	 
 	запретный		запре'тный	 
 	запрётся		запрётся	 
 	запреть		запрѣ'ть (отъ прѣ'ть)	 
 	запрёшься		запрёшься	 
 	запрещать		запреща'ть	 
 	запрещён		запрещёнъ	 
 	запрещение		запреще'ніе	 
 	запрещённого		запрещённаго	 
 	запрещённое		запрещённое	 
 	запрещённые		запрещённые (м. р.), запрещённыя (ж. р. и ср. р.)	 
 	запрещённый		запрещённый, запрещённаго	 
 	запрещено		запрещено'	 
 	заприметил		запримѣ'тилъ	 
 	запросто		за'просто (безъ церемо'ній, безъ стѣсне'ній; легко', безъ уси'лій)	 
 	запрошенный		запро'шенный	 
 	запряжённый		запряжённый, запряжённаго	 
 	запрячь		запря'чь, запря'гъ (запре'чь, запрёгъ)	 
 	запуск		за'пускъ, при за'пускѣ	 
 	запустение		запустѣ'ніе	 
 	запутаннее		запу'таннѣе	 
 	запутанное		запу'танное, запу'таннаго	 
 	запущенный		запу'щенный, запу'щеннаго	 
 	запьём		запьёмъ	 
 	запьёт		запьётъ	 
 	запьёшь		запьёшь	 
 	запылённый		запылённый	 
 	запыхтеть		запыхтѣ'ть	 
 	зарабатывать		зараба'тывать и зарабо'тывать	 
 	заражён		заражёнъ	 
 	заражение		зараже'ніе	 
 	заражённый		заражённый	 
 	за раз		за ра'зъ (за оди'нъ ра'зъ), но за'разъ (укр., бѣлорусск. — сейча'съ)	 
 	зараз		за'разъ (укр., бѣлорусск. — сейча'съ), но за ра'зъ	 
 	заразнее		зара'знѣе, зара'знѣйшій, зара'знѣйшаго	 
 	заранее		зара'нѣе, зара'нѣ	 
 	зарастать		зараста'ть, зароста'ть	 
 	зарастёт		зарастётъ, заростётъ	 
 	зарасти		зарасти', зарости'	 
 	зарвёшься		зарвёшься, зарвёмся, зарвётся, зарвётесь	 
 	зарделась		зардѣ'лась (заря')	 
 	зардеться		зардѣ'ться (ста'ть я'рко-кра'снымъ — заря' зардѣ'лась; зардѣ'лась отъ смуще'нія)	 
 	заребячиться		заребя'читься	 
 	зарёванный		зарёванный, зарёваннаго	 
 	заревел		заревѣ'лъ	 
 	заревёт		заревётъ, заревѣ'ть	 
 	зареветь		заревѣ'ть, заревётъ	 
 	зарево		за'рево, въ за'ревѣ	 
 	зарегистрировать		зарегистри'ровать	 
 	зарезал		зарѣ'залъ	 
 	зарезанный		зарѣ'занный	 
 	зарезать		зарѣ'зать	 
 	заречье		зарѣ'чье	 
 	заречься		заре'чься (дать заро'къ, обѣща'ніе не дѣ'лать чего'-либо впре'дь)	 
 	зарекаться		зарека'ться (заре'чься)	 
 	зарёкшемуся		зарёкшемуся	 
 	зарёкшийся		зарёкшійся	 
 	заречёшься		заречёшься	 
 	зарёю		зарёю	 
 	заржавеет		заржавѣ'етъ	 
 	заржавелый		заржавѣ'лый	 
 	заржаветь		заржавѣ'ть	 
 	заржёт		заржётъ	 
 	заробеть		заробѣ'ть	 
 	зародыш		заро'дышъ	 
 	зароет		заро'етъ (зары'ть)	 
 	зарождаться		зарожда'ться и заражда'ться	 
 	зарождение		зарожде'ніе	 
 	зарождённый		зарождённый	 
 	заронённый		заронённый	 
 	заросль		за'росль	 
 	за рубеж		за рубе'жъ (уѣ'хать за рубе'жъ)	 
 	зарубеж		зарубе'жъ (рабо'тать на зарубе'жъ)	 
 	зарубежные		зарубе'жные (м. р.), зарубе'жныя (ж. р. и ср. р.)	 
 	зарубежный		зарубе'жный	 
 	за рубежом		за рубежо'мъ (находи'ться за рубежо'мъ)	 
 	зарубежье		зарубе'жье	 
 	зарубленный		зару'бленный	 
 	заручённый		заручённый	 
 	заручье		зару'чье	 
 	зарыжеть		зарыжѣ'ть	 
 	заря		заря', зоря', зарёю, на зарѣ'	 
 	зарядье		заря'дье	 
 	заряженный		заря'женный, заря'женнаго	 
 	заряжённый		заряжённый, заряжённаго	 
 	засаженный		заса'женный, заса'женнаго	 
 	засахаренный		заса'харенный, заса'хареннаго	 
 	засвербеть		засвербѣ'ть (зачеса'ться)	 
 	засвербить		засверби'ть (защекота'ть)	 
 	засверкал		засверка'лъ	 
 	засвидетельствовать		засвидѣ'тельствовать	 
 	засвистеть		засвистѣ'ть	 
 	засвеже		за'свѣже (съ нача'ломъ холодо'въ)	 
 	засветить		засвѣти'ть	 
 	засветло		за'свѣтло (до наступле'нія темноты', пока' свѣтло')	 
 	засветлеть		засвѣтлѣ'ть	 
 	засвечивать		засвѣ'чивать	 
 	засвидетельствовал		засвидѣ'тельствовалъ	 
 	засевать		засѣва'ть	 
 	заседает		засѣда'етъ, засѣда'ете, засѣда'емъ, засѣда'ешь, засѣда'ютъ	 
 	заседание		засѣда'ніе, на засѣда'ніи, засѣда'ніемъ	 
 	заседатель		засѣда'тель, засѣда'телемъ, о засѣда'телѣ	 
 	заседать		засѣда'ть	 
 	заседающего		засѣда'ющаго	 
 	заседающие		засѣда'ющіе (м. р.), засѣда'ющія (ж. р. и ср. р.)	 
 	заседающий		засѣда'ющій, засѣда'ющаго	 
 	засёдланный		засѣ'дланный	 
 	засёк		засѣ'къ	 
 	засека		засѣ'ка и за'сѣка (прегра'да), Козло'ва За'сѣка (заповѣ'дный лѣсъ), на за'сѣкѣ	 
 	Засекин		Засѣ'кинъ	 
 	заселение		заселе'ніе	 
 	заселённый		заселённый, заселённаго	 
 	засёлок		засёлокъ	 
 	заселять		заселя'ть	 
 	засеребрённый		засеребрённый	 
 	засесть		засѣ'сть	 
 	засечённый		засѣчённый	 
 	засечка		засѣ'чка	 
 	засечь		засѣ'чь, засѣ'къ	 
 	засеять		засѣ'ять	 
 	засидеться		засидѣ'ться	 
 	засим		заси'мъ (по'слѣ э'того, затѣ'мъ, да'лѣе)	 
 	засинённый		засинённый	 
 	засипеть		засипѣ'ть	 
 	засиял		засія'лъ	 
 	заскорбеть		заскорбѣ'ть (не заскорби'ть!), но заскорби'тъ	 
 	заскорузлый		заскору'злый, закору'злый (затвердѣ'вшій, загрубѣ'лый)	 
 	заскрёб		заскрёбъ	 
 	заскребётся		заскребётся	 
 	заскрёбший		заскрёбшій	 
 	заскрежетал		заскрежета'лъ	 
 	заслащённый		заслащённый	 
 	заслепить		заслѣпи'ть	 
 	заслонённый		заслонённый	 
 	заслуженно		заслу'женно	 
 	заслуженное		заслу'женное	 
 	заслуженного		заслу'женнаго	 
 	заслуженные		заслу'женные (м. р.), заслу'женныя (ж. р. и ср. р.)	 
 	заслуженный		заслу'женный, заслу'женнаго	 
 	засмеётся		засмѣётся	 
 	засмеяться		засмѣя'ться	 
 	засмотреться		засмотрѣ'ться	 
 	заснеженные		заснѣ'женные (м. р.), заснѣ'женныя (ж. р. и ср. р.)	 
 	заснеженный		заснѣ'женный, заснѣ'женнаго	 
 	заснём		заснёмъ	 
 	заснёт		заснётъ	 
 	заснёшь		заснёшь	 
 	заснуёт		заснуётъ	 
 	засовеститься		засо'вѣститься	 
 	засоленный		засо'ленный (о проду'ктѣ), засо'лка	 
 	засолённый		засолённый (о по'чвѣ), засоле'ніе	 
 	засопеть		засопѣ'ть, засапѣ'ть	 
 	засорение		засоре'ніе	 
 	засорённый		засорённый	 
 	засосёт		засосётъ	 
 	заспешить		заспѣши'ть	 
 	заставлять		заставля'ть	 
 	заставленный		заста'вленный	 
 	заставьте		заста'вьте	 
 	застаёт		застаётъ	 
 	застанет		заста'нетъ, заста'немъ, заста'нешь	 
 	застарелый		застарѣ'лый, застарѣ'лаго	 
 	застегать		застега'ть	 
 	застёгивать		застёгивать	 
 	застегнётся		застегнётся	 
 	застёжка		застёжка, на застёжкѣ	 
 	застекленеть		застекленѣ'ть	 
 	застекление		застекле'ніе	 
 	застеклено		застеклено'	 
 	застеклённое		застеклённое	 
 	застеклённые		застеклённые (м. р.), застеклённыя (ж. р. и ср. р.)	 
 	застеклённый		застеклённый, застеклённаго	 
 	застеклить		застекли'ть	 
 	застекляет		застекля'етъ, застекля'ете, застекля'емъ, застекля'ешь, застекля'ютъ	 
 	застеклять		застекля'ть	 
 	застенать		застена'ть	 
 	застенок		застѣ'нокъ, въ застѣ'нкѣ	 
 	застенчивый		застѣ'нчивый	 
 	застолблённый		застолблённый	 
 	засточертело		засточертѣ'ло въ головѣ' (си'льно зашумѣ'ло отъ вина')	 
 	застревать		застрева'ть и застрява'ть	 
 	застрекотать		застрекота'ть	 
 	застрел		застрѣ'лъ (цейтно'тъ)	 
 	застрелен		застрѣ'ленъ	 
 	застрелиться		застрѣ'литься	 
 	застрельщик		застрѣ'льщикъ (зачина'тель, зачи'нщикъ)	 
 	застреха		застрѣ'ха (ни'жній, свиса'ющій кра'й кры'ши)	 
 	застроенный		застро'енный, застро'еннаго	 
 	застуженный		засту'женный, засту'женнаго	 
 	заступление		заступле'ніе	 
 	застыжённый		застыжённый, застыжённаго, застыжёнъ, застыжена', застыжены', застыжено'	 
 	засуетиться		засуети'ться	 
 	засуженный		засу'женный, засу'женнаго	 
 	Засулье		Засу'лье	 
 	засученный		засу'ченный	 
 	засушенный		засу'шенный, засу'шеннаго	 
 	засчитан		засчи'танъ, (не зощи'танъ :)	 
 	затаённое		затаённое	 
 	затащенный		зата'щенный	 
 	затвердевать		затвердѣва'ть	 
 	затвердеть		затвердѣ'ть	 
 	затвердить		затверди'ть	 
 	затверженный		затве'рженный и затвержённый, затве'рженъ, затве'рженнаго	 
 	затворённый		затворённый	 
 	затевать		затѣва'ть	 
 	затейливый		затѣ'йливый, затѣ'йливаго	 
 	затейник		затѣ'йникъ (скло'нный къ затѣ'ямъ человѣ'къ; вы'думщикъ)	 
 	затёк		затёкъ	 
 	затекать		затека'ть	 
 	затёкший		затёкшій	 
 	за тем		за тѣ'мъ	 
 	затем		затѣ'мъ (наpѣч.), но за тѣ'мъ лѣ'сомъ	 
 	затемнение		затемне'ніе (отъ затемни'ть), но затемнѣ'ніе (отъ затемнѣ'ть)	 
 	затемнеть		затемнѣ'ть, затемнѣ'ніе; но затемне'ніе (отъ затемни'ть)	 
 	затемнить		затемни'ть, затемне'ніе; но затемнѣ'ніе (отъ затемнѣ'ть)	 
 	затемно		за'темно (прійти за'темно — въ темнотѣ')	 
 	затенение		затѣне'ніе	 
 	затенённый		затѣнённый, затѣнённаго	 
 	затенить		затѣни'ть	 
 	затепленный		зате'пленный	 
 	затеплить		зате'плить (заже'чь лампа'ду, свѣчу'), зате'плиться	 
 	затепло		за'тепло (до холодо'въ)	 
 	затереть		затере'ть	 
 	затерзать		затерза'ть	 
 	затёртый		затёртый	 
 	затёршийся		затёршійся	 
 	затерянный		зате'рянный, зате'ряннаго	 
 	затёсанный		затёсанный	 
 	затесать		затеса'ть	 
 	затесаться		затеса'ться	 
 	затеснение		затѣсне'ніе	 
 	затечёт		затечётъ	 
 	затечь		зате'чь	 
 	затея		затѣ'я, о затѣ'ѣ	 
 	затеять		затѣ'ять	 
 	затишье		зати'шье	 
 	заткнёт		заткнётъ	 
 	затлеть		затлѣ'ть	 
 	затмевать		затмева'ть	 
 	затмение		затме'ніе	 
 	зато		зато' (сoю'зъ — зато' у него' есть...) но вы'пьемъ за то', что' у него' есть...	 
 	затолкнёт		затолкнётъ	 
 	затолчётся		затолчётся	 
 	затопленный		зато'пленный, зато'пленнаго	 
 	заторможенный		затормо'женный	 
 	затормошённый		затормошённый	 
 	заточенный		зато'ченный	 
 	заточённый		заточённый	 
 	заточение		заточе'ніе	 
 	затравленный		затра'вленный, затра'вленнаго	 
 	затрагивать		затра'гивать и затро'гивать	 
 	затрапез		затрапе'зъ (дешёвая гру'бая пло'тная тка'нь въ поло'ску; бу'дничная оде'жда)	 
 	затрапезный		затрапе'зный (бу'дничный, ненаря'дный)	 
 	затраченный		затра'ченный, затра'ченнаго	 
 	затревожиться		затрево'житься	 
 	затрезвонил		затрезво'нилъ	 
 	затрёпанный		затрёпанный	 
 	затрепетал		затрепета'лъ	 
 	затрётся		затрётся	 
 	затрещал		затреща'лъ	 
 	затрещина		затре'щина	 
 	затруднение		затрудне'ніе	 
 	затруднённый		затруднённый, затруднённаго	 
 	затруднителен		затрудни'теленъ	 
 	затруднительное		затрудни'тельное	 
 	затрушенный		затру'шенный	 
 	затрясётся		затрясётся	 
 	затрясся		затря'сся	 
 	затуманенный		затума'ненный	 
 	затупленный		зату'пленный	 
 	затупеть		затупѣ'ть	 
 	затускнеть		затускнѣ'ть	 
 	затучнеть		затучнѣ'ть	 
 	затушёвывание		затушёвываніе	 
 	затхлый		за'тхлый и за'дхлый, за'тхлаго и за'дхлаго	 
 	Зауервейд		Зауерве'йдъ	 
 	за упокой		заупоко'й	 
 	зауряд		зауря'дъ (зауря'дный — обыкнове'нный, посре'дственный), дѣ'йствовалъ зауря'дъ съ други'ми	 
 	зауряд		зауря'дъ- (пе'рвая ча'сть сло'жныхъ словъ въ значе'ніи "исполня'ющій каку'ю-ли'бо до'лжность, но не имѣ'ющій соотвѣ'тствующаго чи'на")	 
 	зауряд-прапорщик		зауря'дъ-пра'порщикъ (вы'сшее во'инское зва'ніе для у'нтеръ-офице'ровъ 1907-1917)	 
 	заусенец		заусе'нецъ и заусе'ница	 
 	заутренний		зау'тренній	 
 	заутреня		зау'треня (церко'вная слу'жба, соверша'емая ра'но у'тромъ), къ зау'тренѣ	 
 	заутюженный		заутю'женный, заутю'женнаго	 
 	заушение		зауше'ніе (уда'ръ по у'ху, по щекѣ')	 
 	заушье		зау'шье (мѣ'сто позади' у'ха)	 
 	Захар		Заха'ръ, Заха'рій	 
 	Захарий		Заха'рій, Заха'ръ	 
 	захваленный		захва'ленный, захва'леннаго	 
 	захваченный		захва'ченный, захва'ченнаго	 
 	захерить		захе'рить (зачеркну'ть)	 
 	захилеть		захилѣ'ть	 
 	захиреет		захирѣ'етъ, захирѣ'ете, захирѣ'емъ, захирѣ'ешь, захирѣ'ю, захирѣ'ютъ	 
 	захирелого		захирѣ'лаго	 
 	захирелое		захирѣ'лое	 
 	захирелость		захирѣ'лость	 
 	захирелые		захирѣ'лые (м. р.), захирѣ'лыя (ж. р. и ср. р.)	 
 	захирелый		захирѣ'лый, захирѣ'лаго	 
 	захламлённый		захламлённый, захламлённаго	 
 	захлебнёшься		захлебнёшься	 
 	захлебнуться		захлебну'ться	 
 	захлёбываться		захлёбываться	 
 	захлёстанный		захлёстанный	 
 	захлестнуть		захлесну'ть	 
 	захмелеть		захмелѣ'ть и захмѣлѣ'ть	 
 	заход		захо'дъ, во второ'мъ захо'дѣ	 
 	заходите		заходи'те и захо'дите	 
 	захождение		захожде'ніе	 
 	захолустье		захолу'стье (глухо'е, отдалённое отъ культу'рныхъ це'нтровъ мѣ'сто; глуха'я, отдалённая отъ це'нтра часть го'рода; окра'ина)	 
 	захоронение		захоро'неніе	 
 	захороненный		захоро'ненный, захоро'неннаго	 
 	захотелось		захотѣ'лось	 
 	захотеть		захотѣ'ть, но захо'четъ	 
 	захочет		захо'четъ, но захотѣ'ть	 
 	захрапеть		захрапѣ'ть	 
 	захребетник		захребе'тникъ (живу'щій за чужо'й счётъ; тунея'децъ, дармоѣ'дъ)	 
 	захрипеть		захрипѣ'ть	 
 	захрустеть		захрустѣ'ть	 
 	зацвёл		зацвѣ'лъ (подъ ударе'ніемъ произно'сится ё), зацвѣла', зацвѣту', зацвѣтётъ	 
 	зацвести		зацвѣсти' и зацвѣ'сть	 
 	зацветший		зацвѣ'тшій	 
 	зацеремониться		зацеремо'ниться	 
 	зацедить		зацѣди'ть	 
 	зацеловать		зацѣлова'ть	 
 	заценить		зацѣни'ть	 
 	зацепить		зацѣпи'ть	 
 	зацепка		зацѣ'пка	 
 	зацеплять		зацѣпля'ть	 
 	зачастую		зачасту'ю	 
 	зачатие		зача'тіе	 
 	зачеканить		зачека'нить	 
 	за чем		за чѣмъ	 
 	зачем		зачѣ'мъ (наpѣч.), но за чѣмъ пришёлъ, то и нашёлъ	 
 	зачервиветь		зачерви'вѣть	 
 	зачёркивание		зачёркиваніе	 
 	зачернённый		зачернённый	 
 	зачернеть		зачернѣ'ть	 
 	зачернить		зачерни'ть	 
 	зачерпнёт		зачерпнётъ	 
 	зачерпнуть		зачерпну'ть	 
 	зачерстветь		зачерствѣ'ть	 
 	зачертыхаться		зачертыха'ться	 
 	зачёс		зачёсъ	 
 	зачесать		зачеса'ть	 
 	зачесть		заче'сть	 
 	зачёт		зачётъ, на зачётѣ (не зачо'тъ :)	 
 	зачехлённый		зачехлённый	 
 	зачинается		зачина'ется (начина'ется)	 
 	зачинщик		зачи'нщикъ (тотъ, кто на'чалъ и'ли побужда'лъ други'хъ нача'ть что'-либо, обы'чно неблагови'дное), о зачи'нщикѣ	 
 	зачисленный		зачи'сленный, зачи'сленнаго	 
 	зачнём		зачнёмъ (начнёмъ)	 
 	зачтённый		зачтённый, зачтённаго	 
 	зачтётся		зачтётся	 
 	зачумлённый		зачумлённый	 
 	зачует		зачу'етъ, зачу'ете	 
 	зашвырнёт		зашвырнётъ	 
 	зашевелиться		зашевели'ться	 
 	зашедший		заше'дшій, заше'дшаго	 
 	зашедшийся		заше'дшійся, заше'дшагося	 
 	зашёл		зашёлъ	 
 	зашелестел		зашелестѣ'лъ	 
 	зашелестеть		зашелестѣ'ть	 
 	зашёлся		зашёлся (ка'шлемъ)	 
 	зашельмовать		зашельмова'ть	 
 	зашепелявить		зашепеля'вить	 
 	зашёптанный		зашёптанный	 
 	зашептать		зашепта'ть	 
 	зашершаветь		зашерша'вѣть	 
 	зашибётся		зашибётся	 
 	зашипеть		зашипѣ'ть	 
 	зашлёпать		зашлёпать	 
 	зашлёшь		зашлёшь	 
 	зашпаклёванный		зашпаклёванный	 
 	зашпиленный		зашпи'ленный	 
 	заштилевать		заштилева'ть	 
 	зашуметь		зашумѣ'ть	 
 	зашумлённый		зашумлённый	 
 	защебетать		защебета'ть	 
 	защеголять		защеголя'ть	 
 	защекотать		защекота'ть	 
 	зашьёт		зашьётъ	 
 	защёлка		защёлка, на защёлкѣ	 
 	защёлкать		защёлкать (па'льцами), защелка'ть (орѣ'хами)	 
 	защемить		защеми'ть	 
 	защемлённый		защемлённый	 
 	защёчный		защёчный	 
 	защищает		защища'етъ, защища'емъ, защища'ешь, защища'ете	 
 	защищённый		защищённый, защищённаго	 
 	защитник		защи'тникъ, о защи'тникѣ	 
 	защищённый		защищённый, защищённаго	 
 	заявление		заявле'ніе	 
 	заявляет		заявля'етъ, заявля'емъ, заявля'ешь	 
 	заяц		за'яцъ, о за'йцѣ, за'йцемъ, за'йцевъ	 
 	заячий		за'ячій, за'ячьяго, за'ячьи	 
 	заячье		за'ячье, за'ячьемъ	 
 	заячьего		за'ячьяго	 
зв 	звание		зва'ніе, зва'ніемъ, зва'нія, зва'ніямъ, о зва'ніи	^
 	званный		зва'нный (пpич. — зва'нный на у'жинъ го'сть), но зва'ный (зва'ный го'сть, обѣ'дъ, у'жинъ)	 
 	званый		зва'ный (пpил. — зва'ный го'сть, обѣ'дъ, у'жинъ), но зва'нный (зва'нный на у'жинъ го'сть)	 
 	звательный		зва'тельный паде'жъ (о'тче, ста'рче, ца'рю, сы'не...), зва'тельнаго	 
 	звёзд		звѣ'здъ (подъ ударе'ніемъ произно'сится ё)	 
 	звезда		звѣзда', къ звѣздѣ', при звѣздѣ'	 
 	звёздах		о звѣ'здахъ (подъ ударе'ніемъ произно'сится ё)	 
 	звезде		къ звѣздѣ', при звѣздѣ'	 
 	звёздного		звѣ'зднаго (подъ ударе'ніемъ произно'сится ё)	 
 	звёздное		звѣ'здное (подъ ударе'ніемъ произно'сится ё)	 
 	звёздные		звѣ'здные (м. р.), звѣ'здныя (ж. р. и ср. р.), звѣ'здныя во'йны (подъ ударе'ніемъ произно'сится ё)	 
 	звёздный		звѣ'здный, звѣ'зднаго (подъ ударе'ніемъ произно'сится ё)	 
 	звездой		звѣздо'й	 
 	звездопад		звѣздопа'дъ	 
 	звездочёт		звѣздочётъ	 
 	звёздочка		звѣ'здочка (подъ ударе'ніемъ произно'сится ё)	 
 	звездою		звѣздо'ю	 
 	звезды		до пе'рвой звѣзды'	 
 	звёзды		я'ркія звѣ'зды (подъ ударе'ніемъ произно'сится ё)	 
 	звенел		звенѣ'лъ, звенѣ'ла, звенѣ'ли, звенѣ'ло	 
 	звенеть		звенѣ'ть (звонъ)	 
 	Звенигородский		Звенигоро'дскій (уѣ'здъ)	 
 	звенит		звени'тъ, звени'шь, звеню', звеня'тъ	 
 	звено		звено', на тре'тьемъ звенѣ'	 
 	звёнышко		звёнышко	 
 	звенящий		звеня'щій, звеня'щаго	 
 	Зверев		Звѣ'ревъ	 
 	звереет		звѣрѣ'етъ, звѣрѣ'емъ, звѣрѣ'ешь, звѣрѣ'ютъ	 
 	зверем		звѣ'ремъ, звѣря'ми, о звѣря'хъ	 
 	звереть		звѣрѣ'ть, звѣрѣ'етъ	 
 	зверёк		звѣрёкъ и звѣро'къ, звѣрька' и звѣрка', о звѣрькѣ' и о звѣркѣ'	 
 	зверёныш		звѣрёнышъ, звѣрёнышемъ, звѣрёнышами	 
 	зверинец		звѣри'нецъ, въ звѣри'нцѣ	 
 	зверобой		звѣробо'й, на звѣробо'ѣ	 
 	зверолов		звѣроло'въ, о звѣроло'вѣ	 
 	зверские		звѣ'рскіе (м. р.), звѣ'рскія (ж. р. и ср. р.)	 
 	зверский		звѣ'рскій, звѣ'рскаго	 
 	зверского		звѣ'рскаго	 
 	зверское		звѣ'рское	 
 	зверство		звѣ'рство, въ звѣ'рствѣ	 
 	зверушка		звѣру'шка и звѣрю'шка, звѣру'шечій	 
 	зверь		звѣ'рь, о звѣ'рѣ, о звѣря'хъ	 
 	зверьё		звѣрьё, о звѣрьѣ', звѣрьёмъ	 
 	звонкие		зво'нкіе (м. р.), зво'нкія (ж. р. и ср. р.)	 
 	звонкий		зво'нкій, зво'нкаго	 
 	звонкое		зво'нкое	 
 	звонче		зво'нче	 
 	звук		звукъ, въ э'томъ зву'кѣ	 
 	звучание		звуча'ніе	 
зд 	здание		зда'ніе	^
 	Здекауер		Здека'уеръ	 
 	здесь		здѣ'сь (не сдѣ'сь; е'сли ника'къ не запо'мнить — пиши' «тутъ»!)	 
 	здешнего		здѣ'шняго	 
 	здешнее		здѣ'шнее	 
 	здешней		здѣ'шней	 
 	здешние		здѣ'шніе (м. р.), здѣ'шнія (ж. р. и ср. р.)	 
 	здешний		здѣ'шній, здѣ'шняго	 
 	здешним		здѣ'шнимъ, здѣ'шними	 
